,last_reported,station_id,Available bikes,Mechanical bikes,Ebike,weekday,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
72,2020-01-15,3,9.76388888888889,9.42013888888889,0.34375,Wednesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
73,2020-01-16,3,8.92361111111111,8.805555555555555,0.11805555555555555,Thursday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
74,2020-01-17,3,11.21875,10.871527777777779,0.3472222222222222,Friday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
75,2020-01-18,3,17.850694444444443,17.73611111111111,0.11458333333333333,Saturday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
76,2020-01-19,3,8.628472222222221,7.784722222222222,0.84375,Sunday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
77,2020-01-20,3,7.732638888888889,6.951388888888889,0.78125,Monday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
78,2020-01-21,3,14.458333333333334,12.618055555555555,1.8402777777777777,Tuesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
79,2020-01-22,3,6.7839721254355405,6.686411149825784,0.0975609756097561,Wednesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
80,2020-01-23,3,8.494809688581315,8.377162629757786,0.11764705882352941,Thursday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
81,2020-01-24,3,12.303135888501743,11.94773519163763,0.3554006968641115,Friday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
82,2020-01-27,3,15.0,14.687179487179487,0.3128205128205128,Monday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
83,2020-01-28,3,16.375,16.131944444444443,0.24305555555555555,Tuesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
84,2020-01-29,3,14.3125,14.072916666666666,0.23958333333333334,Wednesday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
85,2020-01-30,3,18.260416666666668,17.98263888888889,0.2777777777777778,Thursday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
86,2020-01-31,3,10.707317073170731,10.369337979094077,0.33797909407665505,Friday,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.394155700000006,2.1813305,11,"C/ NÀPOLS, 82",8013,27,"41.394155700000006,2.1813305",el Fort Pienc,Eixample,Barcelona
87,2020-01-01,4,7.239583333333333,6.8125,0.4270833333333333,Wednesday,"C/ RIBES, 13",ELECTRICBIKESTATION,41.39331729999999,2.1812482999999996,8,"C/ RIBES, 13",8013,21,"41.39331729999999,2.1812482999999996",el Fort Pienc,Eixample,Barcelona
88,2020-01-02,4,12.76736111111111,12.534722222222221,0.2326388888888889,Thursday,"C/ RIBES, 13",ELECTRICBIKESTATION,41.39331729999999,2.1812482999999996,8,"C/ RIBES, 13",8013,21,"41.39331729999999,2.1812482999999996",el Fort Pienc,Eixample,Barcelona
89,2020-01-03,4,9.07986111111111,8.524305555555555,0.5555555555555556,Friday,"C/ RIBES, 13",ELECTRICBIKESTATION,41.39331729999999,2.1812482999999996,8,"C/ RIBES, 13",8013,21,"41.39331729999999,2.1812482999999996",el Fort Pienc,Eixample,Barcelona
90,2020-01-04,4,9.28125,8.427083333333334,0.8541666666666666,Saturday,"C/ RIBES, 13",ELECTRICBIKESTATION,41.39331729999999,2.1812482999999996,8,"C/ RIBES, 13",8013,21,"41.39331729999999,2.1812482999999996",el Fort Pienc,Eixample,Barcelona
